Formasyon;Dokanak Tipi;Üst Derinlik (TVD);Alt Derinlik (TVD);Kalýnlýk (TVD);Üst Derinlik (MD);Alt Derinlik (MD);Litoloji
ÞELMO;DISKORDANS;0;231;231.00;0.00;231.00;ÇAKILTAÞI,KUMTAÞI,KÝLTAÞI
MÝDYAT GRUBU;DISKORDANS;231;852;621.00;231.00;852.00;DOLOMÝT,KÝREÇTAÞI
GERCÜÞ;DISKORDANS;852;1087;235.00;852.00;1087.00;ÞEYL,ÇAKILTAÞI,KUMTAÞI
ÜST SINAN;DISKORDANS;1087;1579;492.00;1087.00;1579.00;KÝREÇTAÞI,DOLOMÝT
ANTAK;DISKORDANS;1579;1598;19.00;1579.00;1598.00;ÞEYL,KUMTAÞI
ALT SÝNAN + GARZAN;DISKORDANS;1598;1890;292.00;1598.00;1890.00;KÝREÇTAÞI,DOLOMÝT
TERBÜZEK;DISKORDANS;1890;2047;157.00;1890.00;2047.00;ÞEYL,ÇAKILTAÞI,KUMTAÞI
KASTEL;DISKORDANS;2047;2524;477.00;2047.00;2524.00;ÞEYL,MARN
SAYINDERE;DISKORDANS;2524;2644;120.00;2524.00;2644.00;KÝREÇTAÞI
KARABABA;DISKORDANS;2644;2668;24.00;2644.00;2668.00;KÝREÇTAÞI,DOLOMÝT
DERDERE;DISKORDANS;2668;2709;41.00;2668.00;2709.00;KÝREÇTAÞI,DOLOMÝT
